"","id","clee","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"2632",6238830,"31013315229000016000000000U7","ALABAMA MÉXICO","ALABAMA MÉXICO SA DE CV",315229,"Confección en serie de otra ropa exterior de materiales textiles","101 a 250 personas","CARRETERA","CONKAL-CHICXULUB PUERTO","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","MANZANA 800",1,"TABLAJE CATASTRAL 418","",NA,0,"","COLONIA","CONKAL","","","",97345,31,"YUCATÁN       ",13,"Conkal",69,"El Roble","57",800,"","EDNAESTRADA@ALABAMEX.COM","","Fijo",21.10567735,-89.51870739,"2014-12"
"2634",4572738,"31050315229000101000000000U9","ALBERTOS","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","5A DIAGONAL","CALLE","18","CALLE","24 A","CALLE","5 DIAGONAL",227,"","",NA,NA,"","COLONIA","JUAN B SOSA","","","",97205,31,"YUCATÁN       ",50,"Mérida",1,"Mérida","2451",23,"9999814246","","","Fijo",21.02617909,-89.6314492,"2010-07"
"2652",6988664,"31080315222005281000000000U6","ALFORZADO DE PRENDAS DE VESTIR SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","20","CALLE","19","CALLE","17","CALLE","22",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",8,"","","","Fijo",20.53804801,-89.3288098,"2019-11"
"2718",8527671,"31080315222004111000000000U6","ARAMADO DE PRENDAS DE VESTIR SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","13","CALLE","28","CALLE","26A","CALLE","SIN REFERENCIA",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","98",17,"9971001634","","","Fijo",20.54129234,-89.33544415,"2019-11"
"2719",4569551,"31080315229001211000000000U2","ARAMDOR DE PRENDAS DE VESTIR SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","17","CALLE","34","CALLE","30","CALLE","15",0,"SN","",NA,0,"","COLONIA","SAN MARTIN","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","98",1,"","","","Fijo",20.53888078,-89.33629437,"2010-07"
"2720",8379300,"31080315222004561000000000U2","ARAMDOR DE PRENDAS DE VESTIR SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","34","CALLE","17","CALLE","13","CALLE","36",0,"SN","",NA,0,"","COLONIA","SAN MARTIN","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","98",6,"9999946382","","","Fijo",20.54034578,-89.33676314,"2019-11"
"2722",9123247,"31040315225000951000000000U6","ARMADO DE BLUSAS","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","21","CALLE","12","CALLE","10","CALLE","19",0,"SN","",NA,0,"","PUEBLO","KIMBILA","","","",97555,31,"YUCATÁN       ",40,"Izamal",41,"Kimbilá","92",11,"","","","Fijo",20.93324567,-89.11859241,"2019-11"
"2723",4509891,"31040315229000491000000000U5","ARMADO DE BLUSAS","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","18","CALLE","25","CALLE","23","CALLE","16",0,"SN","",NA,0,"","PUEBLO","KIMBILA","","","",97555,31,"YUCATÁN       ",40,"Izamal",41,"Kimbilá","105",1,"","","","Fijo",20.93209367,-89.12417022,"2010-07"
"2724",4530762,"31040315229000691000000000U0","ARMADO DE BLUSAS","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","20","CALLE","25","CALLE","23","CALLE","22",0,"SN","",NA,0,"","PUEBLO","KIMBILA","","","",97555,31,"YUCATÁN       ",40,"Izamal",41,"Kimbilá","105",18,"","","","Fijo",20.93319976,-89.12536029,"2014-12"
"2725",7145831,"31098315225000361000000000U6","ARMADO DE BOLSAS DE ROPA SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","28","CALLE","29","CALLE","27","CALLE","26",0,"SN","",NA,0,"","COLONIA","TZUCACAB CENTRO","","","",97960,31,"YUCATÁN       ",98,"Tzucacab",1,"Tzucacab","228",21,"","","","Fijo",20.07368505,-89.04891944,"2019-11"
"2859",4570789,"31080315229000771000000000U6","ARMADO DE PANTALON","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","25","CALLE","22","CALLE","20","CALLE","23",0,"SN","",NA,0,"","SECTOR","SAN CRISTOBAL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",16,"9971204195","","","Fijo",20.5336982,-89.3302369,"2010-07"
"2860",4556652,"31080315225000611010000000U2","ARMADO DE PANTALON SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","16","CALLE","33","CALLE","18A","CALLE","14",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",11,"","","","Fijo",20.5281534,-89.3282636,"2014-12"
"2861",4556493,"31080315225000741010000000U7","ARMADO DE PANTALON SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","31","CALLE","20","CALLE","22","CALLE","29",NA,"SN","",NA,NA,"","SECTOR","SAN CRISTOBAL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",4,"","","","Fijo",20.53085282,-89.33070922,"2014-12"
"2862",4570644,"31080811499000021010000000U4","ARMADO DE PANTALON SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","24","CALLE","31","CALLE","33","CALLE","26",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",23,"","","","Fijo",20.53082882,-89.33271097,"2010-07"
"2863",8527736,"31080315229001631000000000U1","ARMADO DE PANTALON SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","31","CALLE","20","CALLE","22","CALLE","29",NA,"SN","",NA,NA,"","SECTOR","SAN CRISTOBAL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",4,"","","","Fijo",20.53089199,-89.33082749,"2019-11"
"2864",9369114,"31080315229001961000000000U2","ARMADO DE PANTALONES","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","23","CERRADA","NINGUNO","CALLE","38A","CALLE","25",NA,"SN","",NA,NA,"","COLONIA","SAN MARTIN","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","100",41,"9971009751","","","Fijo",20.53646641,-89.34199738,"2021-05"
"2866",8904596,"31080315229001681000000000U6","ARMADO DE PANTALONES SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","22","CALLE","31","CALLE","29","CALLE","20",NA,"SN","",NA,NA,"","SECTOR","SAN CRISTOBAL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",4,"","","","Fijo",20.53193342,-89.33127172,"2019-11"
"2867",4570551,"31080315225000631010000000U0","ARMADO DE PANTALONES SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","20","CALLE","31","CALLE","29","CALLE","22",NA,"SN","",NA,NA,"","SECTOR","SAN CRISTOBAL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",4,"","","","Fijo",20.53115322,-89.33045196,"2010-07"
"2869",6988728,"31080315222005391000000000U3","ARMADO DE PRENDAS DE VESTIR","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","24","CALLE","21","CALLE","19","CALLE","22",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",20,"","","","Fijo",20.5363204,-89.33160389,"2019-11"
"2870",6988671,"31080315222005341000000000U8","ARMADO DE PRENDAS DE VESTIR SIN NOMBRE","",315229,"Confección en serie de otra ropa exterior de materiales textiles","0 a 5 personas","CALLE","21","CALLE","18","CALLE","20","CALLE","17",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",1,"","","","Fijo",20.53534314,-89.32878426,"2019-11"
